SKU,Qty_Caramia,Qty_Lazada,Diff
CM0020,3.78,0.0,3.78
CM0039,12.0,0.0,12.0
CM0041,12.0,0.0,12.0
CM0044,2.0,0.0,2.0
CM0055,1000.0,0.0,1000.0
CM0056,100.0,0.0,100.0
CM0057,30.0,0.0,30.0
CM0073,5000.0,0.0,5000.0
FM0261,2.0,0.0,2.0
FM0324,0.0,3.0,-3.0
FM0326,36.0,0.0,36.0
FM0337,0.56,0.0,0.56
FM0365,4.0,2.0,2.0
FM0374,2.0,0.0,2.0
FM0375,6.0,4.0,2.0
FM0376,23.54,8.0,15.54
FM0462,25.0,13.0,12.0
FM0533,0.0,4.0,-4.0
FM0542,3.0,0.0,3.0
FM0565,4.0,8.0,-4.0
FM0566,0.0,8.0,-8.0
FM0571,14.0,0.0,14.0
FM0594,7.0,6.0,1.0
FM0608,2.0,0.0,2.0
FM0642,1.0,1.0,0.0
FM0817,3.92,0.0,3.92
FM0819,3.0,0.0,3.0
FM0821,1.5,0.0,1.5
FM0822,2.56,1.12,1.44
FM0827,0.56,0.56,0.0
FM0846,2.0,6.0,-4.0
FM0849,12.59,1.12,11.469999999999999
FM1084,30.0,0.0,30.0
FM1085,11.0,0.0,11.0
FM1089,2.0,0.0,2.0
FM1116,4.0,3.0,1.0
FM1118,0.0,9.0,-9.0
FM1120,0.0,5.0,-5.0
FM1132,1.6,1.0,0.6000000000000001
FM1140,1.0,0.0,1.0
FM1141,1.0,0.0,1.0
FM1142,3.0,0.0,3.0
FM1143,8.0,0.0,8.0
FM1146,1.0,0.0,1.0
FM1150,3.0,0.0,3.0
FM1151,1.0,0.0,1.0
FM1157,5.0,0.0,5.0
FM1175,43.0,45.0,-2.0
FM1210,1.0,16.0,-15.0
FM1212,4.0,3.0,1.0
FM1214,1.0,0.0,1.0
FM1223,13.0,10.0,3.0
FM1258,3.0,0.0,3.0
FM1278,1.0,0.0,1.0
FM1281,2.0,4.0,-2.0
FM1291,1.5,0.0,1.5
FM1293,0.0,10.0,-10.0
FM1333,0.0,14.0,-14.0
FM1334,0.0,14.0,-14.0
FT0205,3.78,0.0,3.78
ITEM CODE,0.0,0.0,0.0
PM0063,300.0,0.0,300.0
PM0112,5.0,0.0,5.0
PM0170,200.0,0.0,200.0
PM0174,150.0,0.0,150.0
PM0176,10.0,0.0,10.0
PM0181,30.0,0.0,30.0
PM0182,25.0,0.0,25.0
PM0189,80.0,0.0,80.0
PM0193,102.0,0.0,102.0
RM0042,2.0,0.0,2.0
RM0440,12.0,0.0,12.0
VAT,0.0,0.0,0.0
VAT-Excempt Sales,0.0,0.0,0.0
Vatables Sales,0.0,0.0,0.0
Zero-Rated Sales,0.0,0.0,0.0
