SKU,Description,Quantity,Amount,Sheet_Name,Status_In_Caramia
FM1118,"CASHEW BRITTLE, 10 GRAMS PER PACK",5.0,19.632489655172414,LAZ,MISSING
FM0846,SEA SALTED CRUNCH 140 GM,6.0,88.25376,LAZ,MISSING
FM0594,SEA SALTED HONEY CRUNCH CAKE,6.0,2543.0999999999995,LAZ,MISSING
FM1212,"STRAWBERRY, VACUUM PACKED, PK",3.0,355.3994837647058,LAZ,MISSING
FM0462,"PISTACCHOCOLATO, WHOLE",6.0,3219.299999999999,LAZ,MISSING
FM1334,"CHOCOLATE JAVA CAKE, PC",14.0,6825.699999999999,LAZ,MISSING
FM0376,"BLANK HAPPY BIRTHDAY LABEL, 24PCS/BX",4.0,696.62267136,LAZ,MISSING
FM0365,"STRAWBERRY FROZEN, 150G / PACK",1.0,39.849599999999995,LAZ,MISSING
FM0375,"PIPING CHOCOLATE, 200G/PK",2.0,103.06077264,LAZ,MISSING
FM0642,"TURTLE PIE, 2.5KG/TRAY",1.0,1470,LAZ,MISSING
FM0566,"CASHEW BRITTLE, 15G/PK, PK",8.0,47.117975172413786,LAZ,MISSING
FM0565,"MIDNIGHT DREAM CAKE, PC",8.0,4174.8,LAZ,MISSING
FM0324,"NEW FERRERO, 2.5KG/TRAY",1.0,1469.9999999999998,LAZ,MISSING
FM0822,"CHOCOLATE THERAPY GELATO, 4.5/TRAY",0.56,1481.7600000000002,LAZ,MISSING
FM1333,"COFFEE CRUNCH,  70 G/PK, PK",14.0,186.59199999999998,LAZ,MISSING
FM1293,"SALTED CHOCOLATE SMORES CAKE, NEW, PC",5.0,2560.2499999999995,LAZ,MISSING
FM1281,"MINI MANGO MAGNIFICO, PC",4.0,1460.2,LAZ,MISSING
FM1223,"MANGO MAGNIFICO CAKE, WHOLE, NEW DESIGN",10.0,5120.499999999999,LAZ,MISSING
FM1210,MINI UBE CAKE,8.0,2920.4,LAZ,MISSING
FM0533," PISTACCHOCOLATO, CAKE MINI, PC ",4.0,1558.2,LAZ,MISSING
FM0849,MANGO CREAM PIE 4.5 KG,0.56,1330.56,LAZ,MISSING
FM1175,"UBE CAKE, PC",25.0,12801.249999999998,LAZ,MISSING
FM1120,"MIDNIGHT DREAM CAKE, WHOLE, MINI",5.0,1825.25,LAZ,MISSING
FM1116,"STRAWBERRY CAKE, PIECE",3.0,2050.6499999999996,LAZ,MISSING
FM0376,"BLANK HAPPY BIRTHDAY LABEL, 24PCS/BX",4.0,696.62267136,LAZ,MISSING
FM0375,"PIPING CHOCOLATE, 200G/PK",2.0,103.06077264,LAZ,MISSING
FM0365,"STRAWBERRY FROZEN, 150G / PACK",1.0,39.849599999999995,LAZ,MISSING
FM0324,"NEW FERRERO, 2.5KG/TRAY",2.0,2939.9999999999995,LAZ,MISSING
FM1175,"UBE CAKE, PC",20.0,10240.999999999998,LAZ,MISSING
FM1210,MINI UBE CAKE,8.0,2920.4,LAZ,MISSING
FM1118,"CASHEW BRITTLE, 10 GRAMS PER PACK",4.0,15.705991724137931,LAZ,MISSING
FM1116,"STRAWBERRY CAKE, PIECE",0.0,0,LAZ,MISSING
FM1212,"STRAWBERRY, VACUUM PACKED, PK",0.0,0,LAZ,MISSING
FM0849,MANGO CREAM PIE 4.5 KG,0.56,1330.56,LAZ,MISSING
FM1132,"COFFEE MUDSLIDE GELATO, 2.5KGS./TRAY",1.0,1470,LAZ,MISSING
FM1293,"SALTED CHOCOLATE SMORES CAKE, NEW, PC",5.0,2560.2499999999995,LAZ,MISSING
FM0822,"CHOCOLATE THERAPY GELATO, 4.5/TRAY",0.56,1481.7600000000002,LAZ,MISSING
FM0827,"OREO COOKIES N' CREAM, 4.5KG./TRAY",0.56,1481.7600000000002,LAZ,MISSING
FM0462,"PISTACCHOCOLATO, WHOLE",7.0,3755.849999999999,LAZ,MISSING
FM0533," PISTACCHOCOLATO, CAKE MINI, PC ",4.0,1558.2,LAZ (2),MISSING
FM0566,"CASHEW BRITTLE, 15G/PK, PK",10.0,58.89746896551723,LAZ (2),MISSING
FM0565,"MIDNIGHT DREAM CAKE, PC",10.0,5218.5,LAZ (2),MISSING
FM0846,SEA SALTED CRUNCH 140 GM,5.0,73.5448,LAZ (2),MISSING
FM1333,"COFFEE CRUNCH,  70 G/PK, PK",15.0,199.92,LAZ (2),MISSING
FM1334,"CHOCOLATE JAVA CAKE, PC",15.0,7313.249999999999,LAZ (2),MISSING
FM0821,"BLUEBERRY CHEESECAKE GELATO, 4.5KG/TRAY",0.56,1481.7600000000002,LAZ (2),MISSING
FM1120,"MIDNIGHT DREAM CAKE, WHOLE, MINI",4.0,1460.2,LAZ (2),MISSING
FM1223,"MANGO MAGNIFICO CAKE, WHOLE, NEW DESIGN",10.0,5120.499999999999,LAZ (2),MISSING
FM1281,"MINI MANGO MAGNIFICO, PC",4.0,1460.2,LAZ (2),MISSING
